Time_s,Gen_AC_V,Inv_AC_V,Inv_AC_A,Inv_AC_W,Bat_DC_V,MPPT_DC_A,MPPT_DC_W,Bat_SoC_Pct,Bat_Energy_Wh,Inv_DC_A,Inv_DC_W,Inv_Efficiency_Pct,Rotor_RPM,Temp_Gen_C,Temp_Box_C,Temp_ESP_C
158.0,162.6,210.8,0.08,14.4,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.3,53.3
159.0,200.1,264.9,0.10,22.7,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.3,53.3
160.0,210.5,275.7,0.12,27.5,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
161.0,135.3,178.0,0.08,11.7,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
162.0,217.3,288.1,0.13,31.6,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
163.0,135.3,172.8,0.08,12.4,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
164.0,157.3,205.5,0.10,16.6,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
165.0,195.5,256.3,0.12,26.8,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
166.0,108.7,140.0,0.07,8.9,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
167.0,170.6,224.5,0.11,21.0,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
168.0,151.0,196.0,0.10,17.4,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
169.0,101.6,131.8,0.08,8.9,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
170.0,185.1,243.2,0.13,26.6,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
171.0,89.5,110.8,0.08,7.3,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
172.0,133.3,175.0,0.10,14.9,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
